date,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Total
2008,39.7,21.7,101.7,83.2,"1,210.00",41.3,58.8,204.8,315.3,1.3,"2,077.80"
2009,33.3,21,97.5,74.3,"1,208.80",36.4,56.1,216.5,338.3,1.1,"2,083.20"
2010,31.1,21.2,98.5,73.2,"1,285.00",40.3,65.1,252.3,351,1.1,"2,218.90"
2011,29.9,21.1,106.1,74.1,"1,420.00",44.6,66.2,275.8,361.9,1.1,"2,400.70"
2012,29.9,21.3,110.5,71.7,"1,603.90",47.8,66.6,269.3,344.5,0.9,"2,566.40"
2013,29,20.3,116.7,70.4,"1,735.30",47.3,66.1,274.1,340.5,0.9,"2,700.70"
