year,province,population
2018,Newfoundland,527613
2018,PEI,152768
2018,Nova Scotia,957470
2018,New Brunswick,760744
2018,Quebec,8439925
2018,Ontario,14318750
2018,Manitoba,1346993
2018,Saskatchewan,1169752
2018,Alberta,4318772
2018,British Columbia,4849442
2018,Yukon,38825
2018,Territories,44597
2018,Nunavut,38203
